City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,58.68,66,33,14.25,ZA,1712790486
1,geraldton,-28.7667,114.6,73.81,35,100,20.71,AU,1712790486
2,blackmans bay,-43.0167,147.3167,55.72,68,52,1.99,AU,1712790487
3,west island,-12.1568,96.8225,80.58,74,77,9.22,CC,1712790487
4,olinda,-8.0089,-34.8553,80.33,94,40,3.44,BR,1712790391
5,adamstown,-25.066,-130.1015,72.81,85,100,15.3,PN,1712790487
6,mejit,10.2753,170.8646,80.11,78,100,21.7,MH,1712790487
7,alice springs,-23.7,133.8833,61.21,41,10,5.99,AU,1712790487
8,st. john's,47.5649,-52.7093,30.67,80,40,16.11,CA,1712790323
9,tralee,52.2704,-9.7026,54.52,93,100,9.31,IE,1712790487
10,cromwell,41.5951,-72.6454,63.21,68,100,8.05,US,1712790487
11,puerto natales,-51.7236,-72.4875,38.55,90,14,5.7,CL,1712790487
12,hawaiian paradise park,19.5933,-154.9731,79.03,75,100,9.22,US,1712790487
13,olonkinbyen,70.9221,-8.7187,20.23,72,100,12.21,SJ,1712790487
14,papatowai,-46.5619,169.4708,51.73,98,100,12.06,NZ,1712790488
15,qaqortoq,60.7167,-46.0333,22.96,98,82,3.36,GL,1712790488
16,lebu,-37.6167,-73.65,53.24,76,93,3.0,CL,1712790488
17,umm kaddadah,13.6017,26.6876,77.68,8,0,15.46,SD,1712790488
18,port-aux-francais,-49.35,70.2167,45.39,96,100,8.48,TF,1712790488
19,iqaluit,63.7506,-68.5145,22.82,93,58,1.3,CA,1712790488
20,edinburgh of the seven seas,-37.0676,-12.3116,64.06,81,82,6.8,SH,1712790488
21,grytviken,-54.2811,-36.5092,33.69,90,14,12.17,GS,1712790488
22,port alfred,-33.5906,26.891,58.17,88,100,1.99,ZA,1712790488
23,vilyuchinsk,52.9306,158.4028,39.47,72,80,34.58,RU,1712790439
24,cherdyn',60.403,56.4787,32.76,99,100,2.13,RU,1712790488
25,puerto baquerizo moreno,-0.9,-89.6,79.21,78,56,4.5,EC,1712790488
26,ribeira grande,38.5167,-28.7,63.0,94,75,13.8,PT,1712790488
