City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tura,25.5198,90.2201,23.01,36,65,1.69,IN,1712795363
1,bethel,41.3712,-73.414,14.93,78,100,2.57,US,1712795099
2,kerikeri,-35.2268,173.9474,21.06,92,100,7.46,NZ,1712795363
3,papao,-17.75,-149.55,30.82,83,89,8.93,PF,1712795236
4,utrik,11.2278,169.8474,26.74,78,99,10.06,MH,1712795364
5,constantia,44.1833,28.65,8.38,61,2,3.35,RO,1712795311
6,walvis bay,-22.9575,14.5053,13.53,94,5,2.06,NA,1712795243
7,turkmenbasy,40.0222,52.9552,17.43,36,0,6.17,TM,1712795364
8,oranjestad,12.524,-70.027,27.97,78,20,8.23,AW,1712795126
9,tiksi,71.6872,128.8694,-16.16,92,100,0.52,RU,1712795202
10,hotan,37.0997,79.9269,13.08,19,79,0.85,CN,1712795364
11,port-aux-francais,-49.35,70.2167,7.1,97,100,6.62,TF,1712795364
12,tazovsky,67.4667,78.7,-31.78,100,93,2.41,RU,1712795364
13,san rafael del yuma,18.4299,-68.6739,25.76,73,18,5.17,DO,1712795365
14,vila franca do campo,37.7167,-25.4333,18.27,99,100,4.36,PT,1712795365
15,santo amaro,-12.5467,-38.7119,24.23,91,81,1.48,BR,1712795365
16,grytviken,-54.2811,-36.5092,0.86,90,15,5.43,GS,1712795365
17,kimbe,-5.5502,150.1429,24.79,96,100,0.25,PG,1712795365
18,enewetak,11.3474,162.3373,27.15,81,100,9.97,MH,1712795213
19,dunedin,-45.8742,170.5036,13.22,99,100,2.68,NZ,1712795266
20,kununurra,-15.7667,128.7333,25.99,38,34,6.69,AU,1712795365
21,idri,27.5,13.2667,21.25,16,98,8.67,LY,1712795366
22,adamstown,-25.066,-130.1015,22.45,88,100,7.62,PN,1712795193
23,pariaman,-0.619,100.12,26.03,82,100,1.82,ID,1712795366
24,udachny,66.4167,112.4,-24.75,93,92,9.31,RU,1712795366
25,port lincoln,-34.7333,135.8667,16.47,62,57,3.2,AU,1712795366
26,rongelap,11.1635,166.8941,26.77,78,98,10.53,MH,1712795366
27,jamestown,42.097,-79.2353,14.8,51,100,1.54,US,1712795085
28,alexandria,31.2156,29.9553,16.3,70,7,2.41,EG,1712795366
29,ushuaia,-54.8,-68.3,6.81,76,20,7.2,AR,1712795366
30,nova sintra,14.8667,-24.7167,22.73,76,3,9.65,CV,1712795366
31,waitangi,-43.9535,-176.5597,17.68,87,80,5.36,NZ,1712795204
32,teluk nibung,3.001,99.8164,24.83,96,100,2.28,ID,1712795367
33,fort bragg,35.139,-79.006,22.91,65,40,2.57,US,1712795228
34,puerto natales,-51.7236,-72.4875,3.15,91,15,2.6,CL,1712795208
35,klaksvik,62.2266,-6.589,7.51,97,100,11.94,FO,1712795367
36,ribeira grande,38.5167,-28.7,17.1,100,75,5.14,PT,1712795367
37,iqaluit,63.7506,-68.5145,-2.15,79,100,4.63,CA,1712795217
38,edinburgh of the seven seas,-37.0676,-12.3116,17.84,81,67,2.92,SH,1712795367
39,isafjordur,66.0755,-23.124,-4.01,89,77,2.11,IS,1712795195
40,wailua homesteads,22.0669,-159.378,28.24,63,0,4.63,US,1712795367
41,dolores,-36.3132,-57.6792,9.4,61,53,3.16,AR,1712795367
42,college,64.8569,-147.8028,6.97,33,20,0.0,US,1712795367
43,sitka,57.0531,-135.33,3.94,87,100,9.26,US,1712795367
44,lihue,21.9789,-159.3672,28.58,62,0,4.63,US,1712795368
45,malmyzh,56.5205,50.6818,2.78,92,52,1.61,RU,1712795368
46,vadso,70.0744,29.7487,4.49,93,100,4.63,NO,1712795368
47,papatowai,-46.5619,169.4708,9.45,97,100,8.58,NZ,1712795368
48,bafia,4.75,11.2333,21.92,97,90,0.75,CM,1712795368
49,urangan,-25.3,152.9,25.11,66,19,4.92,AU,1712795368
50,invercargill,-46.4,168.35,9.45,98,100,3.58,NZ,1712795194
51,tomatlan,19.9333,-105.25,25.53,54,20,3.02,MX,1712795368
52,la'ie,21.6477,-157.9253,28.98,74,44,0.89,US,1712795368
53,the pas,53.8251,-101.2541,10.01,53,100,6.17,CA,1712795368
54,ust-nera,64.5667,143.2,-8.9,89,86,3.6,RU,1712795259
55,port alfred,-33.5906,26.891,16.97,67,95,6.24,ZA,1712795212
56,ridder,50.355,83.5133,1.2,98,100,2.34,KZ,1712795369
57,ilulissat,69.2167,-51.1,-7.99,62,100,0.0,GL,1712795201
58,okhotsk,59.3833,143.3,-2.55,67,6,6.08,RU,1712795369
59,avarua,-21.2078,-159.775,29.03,79,75,8.75,CK,1712795369
60,stephenville,32.2207,-98.2023,17.87,59,0,5.66,US,1712795360
61,vila velha,-20.3297,-40.2925,24.97,94,75,1.54,BR,1712795185
62,whitehorse,60.7161,-135.0538,8.43,31,75,7.72,CA,1712795369
63,nova vicosa,-17.8919,-39.3719,25.81,84,7,2.82,BR,1712795369
64,mbanza-ngungu,-5.25,14.8667,21.8,94,100,1.28,CD,1712795369
65,sandnessjoen,66.0217,12.6316,4.29,82,100,12.2,NO,1712795286
66,bilibino,68.0546,166.4372,-13.14,78,56,0.81,RU,1712795196
67,kavieng,-2.5744,150.7967,27.54,82,100,4.18,PG,1712795370
68,badger,64.8,-147.5333,6.93,33,20,0.0,US,1712795370
69,kismayo,-0.3582,42.5454,28.72,77,94,3.25,SO,1712795212
70,margaret river,-33.95,115.0667,14.93,69,13,5.41,AU,1712795205
71,namibe,-15.1961,12.1522,22.16,70,30,3.01,AO,1712795370
72,east london,-33.0153,27.9116,16.44,73,85,7.01,ZA,1712795370
73,hermanus,-34.4187,19.2345,14.33,72,13,8.45,ZA,1712795200
